SourceDomain,TargetDomain,TrustType,TrustDirection
finance.mothership.com,mothership.com,ParentChild,Bidirectional
mothership.com,corp.mothership.com,ParentChild,Bidirectional
mothership.com,finance.mothership.com,ParentChild,Bidirectional
mothership.com,contracts.mothership.com,ParentChild,Bidirectional
corp.mothership.com,mothership.com,ParentChild,Bidirectional
contracts.mothership.com,mothership.com,ParentChild,Bidirectional
contracts.mothership.com,product.othercompany.com,External,Inbound
product.othercompany.com,contracts.mothership.com,External,Outbound
product.othercompany.com,othercompany.com,ParentChild,Bidirectional
othercompany.com,product.othercompany.com,ParentChild,Bidirectional
othercompany.com,finance.othercompany.com,ParentChild,Bidirectional
othercompany.com,engineering.othercompany.com,ParentChild,Bidirectional
othercompany.com,secretnet.othercompany.com,ParentChild,Bidirectional
secretnet.othercompany.com,othercompany.com,ParentChild,Bidirectional
secretnet.othercompany.com,engineering.othercompany.com,CrossLink,Bidirectional
secretnet.othercompany.com,secretnet.company1.com,External,Inbound
secretnet.othercompany.com,secretnet.company2.com,External,Inbound
secretnet.othercompany.com,crownjewels.com,External,Bidirectional
crownjewels.com,secretnet.othercompany.com,External,Bidirectional
